顧客コード,アカウント識別子,週バージョン,定期登録日時,定期解約日時,経過週,初回おいくらキャンペーンコード,おいくらキャンペーン名,ホスピタリティーコード,おためしホスピタリティ,おためしホスピタリティ分類,登録端末タイプ,発送曜日,到着曜日ＩＤ,顧客更新者,おためし受注フラグ,退会週,登録時更新者,HosID Docomo分類,キャンペーン分類
572,Q5O55G5J55QLG4OTP45055PJ,1931,2019/7/25 15:12,2020/2/26 18:36,31,d19062002,dミールキットご入会キャンペーン,,,,3,3,4,1434,0,2009,704,hosなし・自然流入,その他
574,Q5O55O5555QO54GTP4Q055PJ,1931,2019/7/25 15:22,2021/10/30 20:48,119,d19062002,dミールキットご入会キャンペーン,,,,3,7,1,9000,0,2144,9999,hosなし・自然流入,その他
576,N5O55G5555Q044QTP4G055PT,1931,2019/7/25 15:29,2019/8/29 16:29,6,d19062002,dミールキットご入会キャンペーン,,,,3,3,4,1133,0,1936,704,hosなし・自然流入,その他
576,N5O55G5555Q044QTP4G055PT,1942,2019/10/10 13:34,2019/11/18 6:59,6,d19062001,dミールキットご入会特別キャンペーン,,,,1,3,4,3056,0,1947,1133,hosなし・自然流入,転換＆直入会
576,N5O55G5555Q044QTP4G055PT,1951,2019/12/12 12:59,2020/1/30 22:56,8,d19100902,dミールキットご入会特別キャンペーン★,,,,1,3,4,3056,0,2006,3056,hosなし・自然流入,転換＆直入会
577,L5O55G5J55Q5N44TP44055PN,1931,2019/7/25 15:31,2019/8/10 12:19,3,d19062002,dミールキットご入会キャンペーン,,,,3,6,7,9999,0,1933,9999,hosなし・自然流入,その他
578,L5O55Q5T55QNN45TP40055PL,1931,2019/7/31 21:08,2019/10/3 19:43,11,d19062001,dミールキットご入会特別キャンペーン,,,,1,6,7,3080,1,1941,9999,hosなし・自然流入,転換＆直入会
579,LQGQLN455Q04045TP4JT5TPO,1932,2019/8/8 2:30,,138,d19062001,dミールキットご入会特別キャンペーン,,,,3,1,2,9000,0,2213,704,hosなし・自然流入,転換＆直入会
582,4QJGGNN55G0GJ5OTP4JT5TPG,2009,2020/2/25 23:53,,110,d19062001,dミールキットご入会特別キャンペーン,,,,3,5,7,9000,0,2213,704,hosなし・自然流入,転換＆直入会
587,05O5545O55QLO4JTP4N055PT,1933,2019/8/12 9:33,2021/4/22 21:39,90,d19062001,dミールキットご入会特別キャンペーン,1070,コーポレートサイト,ｄ系メディア,3,6,7,3056,0,2117,1133,オウンドpull,転換＆直入会
589,N5O5555555QLJ4NTP4N055PN,1931,2019/7/25 16:02,2019/7/25 19:10,1,d19062002,dミールキットご入会キャンペーン,,,,1,3,4,704,1,1931,704,hosなし・自然流入,その他
590,55O55Q5555QNT4TTP4O055PG,1932,2019/8/2 16:22,2019/9/25 15:07,8,d19062001,dミールキットご入会特別キャンペーン,,,,3,3,5,3056,0,1939,704,hosなし・自然流入,転換＆直入会
591,04QLNGJQ5044QT4TP4NQ5TP4,1931,2019/7/25 16:19,2019/7/28 22:49,1,d19062002,dミールキットご入会キャンペーン,,,,3,4,6,9999,0,1931,9999,hosなし・自然流入,その他
593,L5O55N5455QJQ4OTP44055PG,1932,2019/8/7 13:02,,138,d19062001,dミールキットご入会特別キャンペーン,,,,3,3,4,9000,0,2213,704,hosなし・自然流入,転換＆直入会
594,T5O55O5T55QO54LTP44055PJ,1931,2019/7/25 17:10,2021/4/22 20:58,92,d19062001,dミールキットご入会特別キャンペーン,,,,1,3,4,9990,1,2117,704,hosなし・自然流入,転換＆直入会
600,Q5O55O5O55QGG45TP4O055PJ,1931,2019/7/26 7:08,2019/9/26 8:02,9,d19062002,dミールキットご入会キャンペーン,,,,3,7,1,1133,1,1939,704,hosなし・自然流入,その他
601,GOGLNGJT55TN444TP4G5TTPQ,1931,2019/7/25 17:23,2020/11/2 17:47,67,d19062002,dミールキットご入会キャンペーン,,,,3,7,1,2002,0,2045,9999,hosなし・自然流入,その他
602,45O55N5T55QLG40TP44055P0,1931,2019/8/1 7:44,2019/8/15 18:15,3,d19062001,dミールキットご入会特別キャンペーン,,,,3,3,4,3056,1,1934,9999,hosなし・自然流入,転換＆直入会
602,45O55N5T55QLG40TP44055P0,1939,2019/9/25 22:44,2019/10/11 13:30,4,d19062001,dミールキットご入会特別キャンペーン,,,,4,1,2,3056,0,1942,3056,hosなし・自然流入,転換＆直入会
602,45O55N5T55QLG40TP44055P0,1945,2019/11/1 20:21,2019/12/12 17:10,7,d19100902,dミールキットご入会特別キャンペーン★,,,,4,1,2,3056,0,1951,3056,hosなし・自然流入,転換＆直入会
602,45O55N5T55QLG40TP44055P0,1952,2019/12/26 7:26,2020/1/23 19:27,5,d19062001,dミールキットご入会特別キャンペーン,,,,3,1,2,3056,0,2005,3056,hosなし・自然流入,転換＆直入会
602,45O55N5T55QLG40TP44055P0,2007,2020/2/7 0:50,2020/2/20 18:50,3,d19062001,dミールキットご入会特別キャンペーン,,,,3,1,2,704,0,2009,3056,hosなし・自然流入,転換＆直入会
602,45O55N5T55QLG40TP44055P0,2021,2020/5/20 20:01,2020/6/4 21:04,4,d19062001,dミールキットご入会特別キャンペーン,,,,3,1,2,3071,0,2024,3056,hosなし・自然流入,転換＆直入会
602,45O55N5T55QLG40TP44055P0,2036,2020/8/27 19:56,2020/9/8 13:34,2,d20072001,dミールキットご入会特別キャンペーン■,,,,3,1,2,9999,0,2037,3071,hosなし・自然流入,転換＆直入会
603,GQLQTOJQ50GLT50TP4JL54PQ,1932,2019/8/1 13:18,2019/8/21 11:16,3,d19062002,dミールキットご入会キャンペーン,,,,3,3,4,1133,0,1934,704,hosなし・自然流入,その他
604,N5O55O5455Q054NTP4Q055PN,1931,2019/7/25 17:37,2019/8/8 22:43,3,d19062001,dミールキットご入会特別キャンペーン,,,,3,4,5,1434,1,1933,1434,hosなし・自然流入,転換＆直入会
605,05O5555455QOG44TP40055PL,1931,2019/7/26 13:58,2019/10/23 21:34,13,d19062001,dミールキットご入会特別キャンペーン,,,,3,4,5,749,1,1943,1434,hosなし・自然流入,転換＆直入会
606,LQJN5N45555NQO4TP45N5TP5,1932,2019/8/1 12:54,2019/8/26 20:26,4,d19062001,dミールキットご入会特別キャンペーン,,,,3,3,5,1133,0,1935,704,hosなし・自然流入,転換＆直入会
607,G5O55G5T55QLG40TP4Q055PO,1932,2019/8/2 21:58,,139,d19062001,dミールキットご入会特別キャンペーン,,,,3,5,6,1434,0,2213,704,hosなし・自然流入,転換＆直入会
612,Q5O5545T55QLN44TP4J055PL,1938,2019/9/13 12:38,2021/6/24 11:56,94,d19062001,dミールキットご入会特別キャンペーン,,,,3,3,4,9000,0,2126,1133,hosなし・自然流入,転換＆直入会
612,Q5O5545T55QLN44TP4J055PL,2127,2021/6/30 10:15,2021/7/2 12:19,1,d19062001,dミールキットご入会特別キャンペーン,,,,3,4,5,3056,0,2127,3056,hosなし・自然流入,転換＆直入会
612,Q5O5545T55QLN44TP4J055PL,2128,2021/7/2 12:23,2021/7/15 13:06,3,d19062001,dミールキットご入会特別キャンペーン,,,,3,4,5,9000,0,2129,9000,hosなし・自然流入,転換＆直入会
612,Q5O5545T55QLN44TP4J055PL,2130,2021/7/15 13:09,2021/8/10 14:17,4,d19062001,dミールキットご入会特別キャンペーン,,,,3,4,5,9000,0,2132,9000,hosなし・自然流入,転換＆直入会
612,Q5O5545T55QLN44TP4J055PL,2133,2021/8/10 14:28,2021/10/4 11:05,8,d19062001,dミールキットご入会特別キャンペーン,,,,3,4,5,9000,0,2140,9000,hosなし・自然流入,転換＆直入会
612,Q5O5545T55QLN44TP4J055PL,2141,2021/10/4 11:12,2022/3/24 11:20,26,d19062001,dミールキットご入会特別キャンペーン,,,,3,4,5,9000,0,2213,9000,hosなし・自然流入,転換＆直入会
613,T5O55J5J55Q4L4OTP4Q055PN,1933,2019/8/9 18:46,2019/8/19 20:10,2,d19062002,dミールキットご入会キャンペーン,1070,コーポレートサイト,ｄ系メディア,3,1,2,9999,0,1934,704,オウンドpull,その他
614,TQL54Q055GNLQ5LTP40O54P4,1935,2019/8/22 19:27,2019/12/30 9:29,19,d19062001,dミールキットご入会特別キャンペーン,,,,3,4,6,1133,0,2001,704,hosなし・自然流入,転換＆直入会
618,N5O55O5J55QJG4TTP40055PG,1931,2019/7/25 19:03,2019/7/25 19:17,1,d19062002,dミールキットご入会キャンペーン,,,,3,4,5,9999,0,1931,9999,hosなし・自然流入,その他
